lead_id,pricing_page_visits_decayed,demo_page_visits_decayed,case_study_views_decayed,roi_calculator_uses_decayed,blog_views_decayed,careers_page_visits_decayed,high_intent_touch_count,visited_pricing_or_demo,pages_per_session,visited_last_7_days,is_bot_suspect,email_opens_decayed,email_clicks_decayed,open_rate,click_to_open_rate,content_engagement_decayed,is_unsubscribed,is_hard_bounced,trial_depth_score,is_engaged_trial,industry_tier,lead_source_tier,tech_stack_score,seniority_rank,is_decision_maker,company_size_score,log_annual_revenue,is_smb_fit,dm_x_pricing_or_demo,senior_x_trial,smb_fit_x_intent,cross_channel_engaged,good_source_x_content
L00030,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,0,0,2.9333333333333336,0.0,0.211,0.0,3.666666666666667,0,0,0,0,2,0,2,1,0,3,6.431974996958947,1,0,0,1,1,0
L00031,0.0,0.0,0.0,0.0,1.2666666666666666,0.6333333333333333,0,0,6.0,0,0,3.833333333333333,0.7666666666666666,0.278,0.2,1.5333333333333332,0,0,0,0,2,2,1,4,1,3,5.8045323777563445,1,0,0,0,0,1
L00032,0.0,0.0,0.0,0.4666666666666667,1.8666666666666667,0.9333333333333333,0,0,7.0,0,0,0.9000000000000001,0.0,0.167,0.0,2.1000000000000005,0,0,0,0,2,0,2,3,1,3,7.1925582106830745,1,0,0,0,0,0
L00033,0.0,0.0,0.8,0.0,3.2,0.0,0,0,7.0,1,0,0.8666666666666667,0.0,0.25,0.0,1.7333333333333334,0,0,0,0,2,2,1,0,0,4,4.622027303054514,1,0,0,0,0,1
L00034,0.0,0.0,2.0,0.0,2.0,1.0,0,0,5.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,3,1,4,1,4,7.5455482994100045,1,0,0,0,0,1
L00035,0.6000000000000001,0.0,0.0,0.0,0.9000000000000001,0.30000000000000004,1,1,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,1,1,0,3,6.521945728532414,1,0,0,1,0,0
L00036,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0,0,1.8,0.9,0.118,0.5,3.6,0,0,0,0,1,3,1,3,1,3,6.949760573127167,1,0,0,0,0,1
L00037,0.0,0.9333333333333333,0.9333333333333333,0.0,0.9333333333333333,0.0,1,1,11.0,1,0,0.6,0.0,0.143,0.0,0.0,0,0,0,0,1,3,0,3,1,1,10.516080644689696,0,1,0,0,1,0
L00038,2.0,1.0,3.0,0.0,3.0,0.0,2,1,5.0,1,0,5.8,0.0,0.375,0.0,6.766666666666667,0,0,21,1,2,3,1,4,1,3,6.862548686144057,1,1,1,1,1,1
L00039,0.0,0.0,0.9333333333333333,0.0,1.8666666666666667,1.8666666666666667,0,0,5.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,3,0,0,0,2,9.051110146405625,0,0,0,0,0,0
L00040,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5.0,0,0,2.0999999999999996,0.0,0.25,0.0,1.4,0,0,11,1,1,2,2,1,0,2,9.157509053330196,0,0,0,0,1,1
L00041,0.0,0.0,0.0,0.0,2.5,1.6666666666666667,0,0,6.0,1,0,3.0,0.0,0.158,0.0,2.0,0,0,0,0,2,3,0,1,0,4,5.7720639820726065,1,0,0,0,0,1
L00042,0.9,0.0,0.0,0.0,2.7,0.0,1,1,10.0,1,0,1.9333333333333333,0.0,0.222,0.0,1.9333333333333333,0,0,0,0,1,3,2,4,1,2,8.96880369954508,0,1,0,0,1,1
L00043,0.0,0.0,0.0,0.0,1.0,0.0,0,0,5.0,1,0,0.23333333333333328,0.0,0.062,0.0,0.0,0,0,0,0,2,1,2,1,0,4,5.241217774507464,1,0,0,0,0,0
L00044,0.0,0.0,0.8333333333333334,0.0,1.6666666666666667,0.0,0,0,10.0,1,0,0.2666666666666667,0.0,0.143,0.0,1.8666666666666671,0,0,0,0,3,0,1,1,0,0,11.600557149529331,0,0,0,0,0,0
L00045,0.0,0.4,0.4,0.4,0.8,0.0,1,1,10.0,0,0,4.166666666666667,0.8333333333333334,0.333,0.2,5.833333333333334,0,0,0,0,1,3,1,4,1,4,5.737217250742439,1,1,0,1,1,1
L00046,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,0,0,1.6666666666666667,0.0,0.167,0.0,2.5,0,0,0,0,1,3,1,4,1,3,6.5773048746794185,1,0,0,0,0,1
L00047,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,0,6.0,1,0,0.0,0.0,0.75,0.0,0.0,0,0,0,0,1,3,0,4,1,4,5.626541394312754,1,0,0,0,0,1
L00048,0.8666666666666667,0.0,0.0,0.0,0.8666666666666667,0.8666666666666667,1,1,10.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,13,1,1,2,2,4,1,0,12.17499623730699,0,1,1,0,0,1
L00049,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,2,1,4,1,3,5.6736668507515775,1,0,0,0,0,1
L00050,0.06666666666666665,0.06666666666666665,0.0,0.0,0.2666666666666666,0.06666666666666665,2,1,6.0,0,0,3.333333333333334,0.0,0.333,0.0,1.3333333333333335,0,0,0,0,2,3,1,1,0,2,9.574128953889211,0,0,0,0,1,1
L00051,0.0,0.8333333333333334,0.0,0.0,2.5,0.8333333333333334,1,1,5.0,1,0,0.4,0.0,0.333,0.0,1.6,0,0,19,1,1,3,1,0,0,4,3.9259259105971376,1,0,0,1,1,1
L00052,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0,0,3.0,1,0,0.0,0.0,1.0,0.5,0.0,0,0,0,0,1,2,2,3,1,2,8.834613661631806,0,0,0,0,0,1
L00053,0.0,0.0,0.0,0.0,0.0,0.0,1,1,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,29,1,1,3,2,3,1,3,7.1774006639477665,1,1,1,1,0,1
L00054,0.8666666666666667,0.0,0.0,0.0,0.8666666666666667,0.0,1,1,3.0,0,0,1.6,0.8,0.25,0.5,8.0,0,0,0,0,3,3,1,3,1,1,10.344692965221684,0,1,0,0,1,1
L00055,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20.0,0,1,1.1333333333333333,0.0,0.105,0.0,0.0,0,0,0,0,2,3,2,4,1,3,7.587158441749823,1,0,0,0,0,0
L00056,1.6,0.0,0.0,0.0,1.6,0.0,1,1,2.0,1,0,0.0,0.0,0.312,0.2,0.0,0,0,0,0,3,2,1,1,0,4,5.1089711948171175,1,0,0,1,0,1
L00057,0.0,0.0,0.0,0.0,0.5,0.5,0,0,4.0,0,0,0.3999999999999999,0.0,0.158,0.0,0.0,0,0,0,0,2,3,2,1,0,4,4.755312844417811,1,0,0,0,0,0
L00058,0.0,0.0,0.4666666666666667,0.0,0.9333333333333333,0.4666666666666667,0,0,11.0,0,0,1.7,0.0,0.188,0.0,0.0,0,0,0,0,2,2,1,3,1,3,6.156767098732342,1,0,0,0,0,0
L00059,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,30,1,2,3,0,3,1,2,7.747510479178173,0,1,1,0,0,0
L00060,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,14,1,1,3,1,3,1,4,3.822098297900159,1,0,1,0,0,0
L00061,0.0,0.0,0.0,0.0,2.9,0.0,0,0,2.0,1,0,4.166666666666667,0.8333333333333334,0.278,0.2,2.5,0,0,0,0,1,2,1,1,0,2,9.194129685928202,0,0,0,0,0,1
L00062,0.5333333333333333,0.0,1.0666666666666667,0.0,1.0666666666666667,0.0,1,1,5.0,0,0,4.0,1.0,0.5,0.25,3.0,0,0,0,0,1,0,0,1,0,3,6.392921633818608,1,0,0,1,1,0
L00063,0.8,0.0,0.8,0.0,0.0,0.8,1,1,4.0,1,0,3.7333333333333334,0.9333333333333333,0.8,0.25,13.066666666666666,0,0,0,0,3,2,0,2,0,3,6.459434860567543,1,0,0,1,1,1
L00064,0.0,0.16666666666666663,0.0,0.0,0.4999999999999999,0.16666666666666663,1,1,10.0,0,0,1.2666666666666666,0.0,0.167,0.0,0.0,0,0,0,0,1,3,1,1,0,3,7.46014502182582,1,0,0,1,1,0
L00065,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0,0,2.0,0,0,0.5333333333333332,0.0,0.222,0.0,0.6666666666666665,0,0,0,0,1,2,1,0,0,3,7.273161989844316,1,0,0,0,0,1
L00066,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,0,0,1.2,0.0,0.4,0.0,1.7999999999999998,0,0,0,0,1,2,1,2,0,2,7.5455482994100045,0,0,0,0,0,1
L00067,0.0,0.8,0.0,0.0,1.6,0.8,1,1,10.0,1,0,1.7,0.0,0.231,0.0,1.1333333333333333,0,0,0,0,2,3,1,3,1,4,5.738827816399001,1,1,0,1,1,1
L00068,0.0,0.9,0.9,0.0,2.7,1.8,1,1,8.0,1,0,0.9666666666666667,0.0,0.083,0.0,1.9333333333333333,0,0,12,1,1,2,1,1,0,4,5.153869462182164,1,0,0,1,1,1
L00069,1.0,0.0,0.0,0.0,2.0,1.0,1,1,2.0,1,0,4.533333333333333,0.5666666666666667,0.5,0.125,4.533333333333333,0,0,23,1,2,3,1,4,1,1,10.026638378019122,0,1,1,0,1,1
L00070,0.0,0.8666666666666667,0.0,0.0,2.6,0.8666666666666667,1,1,5.0,1,0,0.0,0.0,0.0,0.0,0.0,1,1,17,1,3,3,1,4,1,1,7.5455482994100045,0,1,1,0,0,0
L00071,0.8,0.0,1.6,0.8,2.4000000000000004,0.0,1,1,11.0,1,0,4.2,0.0,0.636,0.0,3.5999999999999996,0,0,0,0,1,2,1,3,1,3,7.5455482994100045,1,1,0,1,1,1
L00072,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,0,0,3.466666666666667,0.0,0.444,0.0,0.0,0,0,0,0,2,2,1,0,0,3,6.898916330314933,1,0,0,1,1,0
L00073,0.6666666666666667,1.3333333333333335,1.3333333333333335,0.6666666666666667,2.0,0.0,2,1,5.0,0,0,4.0,0.6666666666666667,0.6,0.167,1.3333333333333335,0,0,0,0,2,1,2,0,0,2,9.448908352799696,0,0,0,0,1,0
L00074,0.0,0.0,0.0,0.0,1.7999999999999998,0.6,0,0,4.0,0,0,4.0,0.0,0.312,0.0,5.6000000000000005,0,0,0,0,3,1,2,4,1,3,7.24686688654028,1,0,0,0,0,0
L00075,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,0,0,1.4,0.7,0.105,0.5,1.4,0,0,0,0,1,3,2,4,1,4,4.206184043977636,1,0,0,0,0,1
L00076,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,0,0,5.8,0.9666666666666667,0.6,0.167,8.7,0,0,37,1,1,0,1,3,1,4,4.318820558770089,1,0,1,0,0,0
L00077,0.0,0.0,0.0,0.0,2.533333333333333,0.6333333333333333,0,0,7.0,0,0,0.8,0.0,0.25,0.0,5.6000000000000005,0,0,27,1,1,2,2,0,1,2,9.51980839774982,0,0,0,0,0,1
L00078,0.0,0.0,0.0,0.0,1.9333333333333333,2.9,0,0,8.0,1,0,0.8333333333333334,0.0,0.125,0.0,0.0,0,0,0,0,2,1,0,3,0,2,7.777541233200539,0,0,0,0,0,0
L00079,0.0,0.0,0.8666666666666667,0.0,4.333333333333334,0.8666666666666667,0,0,7.0,1,0,0.5,0.0,0.091,0.0,1.5,1,0,0,0,1,2,2,4,1,4,5.199049364889367,1,0,0,0,0,1
L00080,0.0,0.0,0.0,0.0,2.0999999999999996,0.7,0,0,10.0,0,0,0.5333333333333333,0.0,0.167,0.0,0.0,0,0,0,0,2,1,2,1,0,3,7.075893391259617,1,0,0,0,0,0
L00081,0.33333333333333337,0.0,0.0,0.0,1.3333333333333335,0.0,1,1,10.0,0,0,0.1333333333333333,0.0,0.5,0.0,0.5333333333333332,0,0,0,0,3,3,2,3,1,3,7.5455482994100045,1,1,0,1,1,1
L00082,0.4,0.0,0.0,0.0,1.6,0.0,1,1,20.0,0,1,1.2666666666666666,0.0,0.4,0.0,1.2666666666666666,0,0,0,0,2,0,1,0,0,2,7.5455482994100045,0,0,0,0,1,0
L00083,0.0,0.0,0.5,0.0,1.5,0.5,0,0,3.0,0,0,6.933333333333334,1.7333333333333334,0.444,0.25,4.333333333333334,0,0,0,0,1,1,1,1,0,4,5.80392942326114,1,0,0,0,0,0
L00084,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,4,1,4,5.051777237427431,1,0,0,0,0,0
L00085,0.19999999999999996,0.0,0.3999999999999999,0.0,0.9999999999999998,0.3999999999999999,1,1,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,18,1,1,3,1,4,1,2,8.671629544720656,0,1,1,0,0,1
L00086,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20.0,0,1,5.6,0.9333333333333333,0.5,0.167,4.666666666666667,0,0,0,0,1,2,0,2,0,4,4.715816706075155,1,0,0,1,1,1
L00087,0.0,0.0,0.0,0.0,0.0,0.0,2,1,20.0,0,1,0.9333333333333333,0.0,0.667,0.0,2.8,0,0,20,1,1,3,1,1,0,2,9.613596375141155,0,0,0,0,1,1
L00088,0.0,0.0,0.0,0.0,1.8,0.0,0,0,8.0,1,0,4.833333333333333,0.9666666666666667,0.294,0.2,0.0,0,0,0,0,2,0,2,1,0,3,6.556210012863403,1,0,0,0,0,0
L00089,0.0,0.0,0.0,1.0,4.0,0.0,0,0,10.0,1,0,0.9333333333333333,0.0,0.333,0.0,0.0,1,0,0,0,3,3,2,1,0,4,4.973279507552487,1,0,0,0,0,0
L00090,0.0,0.7333333333333334,0.0,0.0,3.666666666666667,0.0,1,1,7.0,0,0,0.43333333333333335,0.0,0.091,0.0,4.333333333333334,0,0,0,0,1,3,1,4,1,3,6.008567455007644,1,1,0,1,1,1
L00091,0.0,0.5333333333333333,0.0,0.0,1.0666666666666667,0.0,1,1,3.0,0,0,1.7333333333333334,0.0,0.667,0.0,0.0,0,0,0,0,2,3,2,4,1,2,9.165771784399755,0,1,0,0,1,0
L00092,0.5,0.0,1.0,0.0,2.0,0.0,1,1,7.0,0,0,2.0,0.0,0.455,0.0,0.8,0,0,0,0,1,2,1,1,0,1,10.680318496381902,0,0,0,0,1,1
L00093,0.8666666666666667,0.0,0.0,0.0,1.7333333333333334,0.0,1,1,10.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,1,2,3,1,1,11.200107448337814,0,1,0,0,0,0
L00094,0.0,0.0,0.0,0.0,0.16666666666666663,0.033333333333333326,0,0,4.0,0,0,0.9999999999999998,0.19999999999999996,0.294,0.2,0.0,0,0,17,0,2,3,1,4,1,3,7.173115052429426,1,0,0,0,0,0
L00095,1.6666666666666667,0.8333333333333334,0.0,0.0,2.5,0.0,2,1,10.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,3,1,3,1,2,8.648081093095342,0,1,0,0,0,1
L00096,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,0,0,0.6000000000000001,0.0,0.167,0.0,1.8000000000000003,0,0,0,0,1,3,0,4,1,3,7.504006022296386,1,0,0,0,0,1
L00097,0.0,0.0,0.0,0.0,0.7,0.7,0,0,8.0,0,0,1.0666666666666667,0.0,0.667,0.0,3.7333333333333334,0,0,0,0,1,3,2,4,1,3,7.463363045520021,1,0,0,0,0,1
L00098,0.0,0.0,0.0,0.0,1.0,2.0,0,0,9.0,1,0,0.6666666666666667,0.0,0.062,0.0,0.0,0,0,0,0,1,0,1,4,1,1,10.83891598480921,0,0,0,0,0,0
L00099,0.0,0.0,0.0,0.0,1.8666666666666667,0.9333333333333333,0,0,11.0,1,0,0.9666666666666667,0.0,0.333,0.0,0.0,0,0,16,1,2,2,2,1,0,4,5.37989735354046,1,0,0,0,0,0
L00100,1.9333333333333333,0.0,0.9666666666666667,0.0,3.8666666666666667,0.0,1,1,7.0,1,0,1.6,0.0,0.214,0.0,0.0,0,0,24,1,2,3,2,1,0,4,7.5455482994100045,1,0,0,1,1,0
L00101,0.0,0.0,0.0,0.0,2.0,1.0,0,0,4.0,1,0,2.6666666666666665,0.0,0.294,0.0,0.0,0,0,0,0,2,0,0,1,0,3,7.113060672166467,1,0,0,0,0,0
L00102,0.0,0.0,0.0,0.0,2.0,0.4,0,0,8.0,0,0,6.066666666666666,0.0,0.368,0.0,0.0,0,0,0,0,2,1,1,3,1,4,5.5626028611934215,1,0,0,0,0,0
L00103,0.9,0.0,0.9,0.0,2.7,0.9,1,1,5.0,1,0,1.0,0.0,0.286,0.0,1.5,0,0,22,0,1,3,2,3,1,4,7.5455482994100045,1,1,0,1,1,1
L00104,0.0,0.0,0.0,0.0,0.29999999999999993,0.0,0,0,11.0,0,0,2.0999999999999996,0.7,0.273,0.333,2.8,0,0,0,0,1,1,1,1,0,2,7.5455482994100045,0,0,0,0,0,0
L00105,0.0,0.0,0.0,0.0,1.7333333333333334,1.7333333333333334,0,0,6.0,1,0,2.8,0.0,0.25,0.0,2.0999999999999996,0,0,23,1,3,2,2,0,1,3,7.055226558340346,1,0,0,0,0,1
L00106,0.0,0.0,0.0,0.0,4.0,0.0,0,0,9.0,1,0,3.3333333333333335,0.0,0.211,0.0,0.0,0,0,0,0,1,2,2,4,0,1,9.744304230180795,0,0,0,0,0,0
L00107,0.0,0.16666666666666663,0.0,0.16666666666666663,0.4999999999999999,0.33333333333333326,1,1,8.0,0,0,1.9333333333333333,0.0,0.4,0.0,1.9333333333333333,0,0,0,0,1,0,0,1,0,2,9.517214591301236,0,0,0,0,1,0
L00108,0.0,0.0,0.0,0.7,2.8,0.0,0,0,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,6,1,1,3,1,3,1,3,7.083303951488663,1,0,1,0,0,1
L00109,0.0,0.0,0.0,0.0,2.833333333333333,1.1333333333333333,0,0,9.0,0,0,0.43333333333333335,0.43333333333333335,0.1,1.0,0.0,0,0,0,0,1,0,1,0,0,3,6.102111067195046,1,0,0,0,0,0
L00110,0.8,0.8,0.0,0.0,0.8,1.6,2,1,11.0,1,0,6.3,1.8,0.389,0.286,0.0,0,0,0,0,2,0,1,1,0,3,6.54218373453565,1,0,0,1,1,0
L00111,0.0,0.0,0.0,0.0,1.0,0.0,0,0,20.0,1,1,3.0,0.0,0.3,0.0,0.0,0,0,15,1,1,2,1,4,1,2,9.563409823933307,0,0,1,0,0,0
L00112,0.0,0.0,0.8,0.8,3.2,1.6,0,0,4.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,1,4,1,3,7.516868463932073,1,0,0,0,0,0
L00113,0.0,0.6666666666666667,0.6666666666666667,0.0,2.666666666666667,0.0,1,1,3.0,0,0,4.666666666666667,0.0,0.385,0.0,1.8666666666666667,1,0,38,1,3,3,2,4,1,2,9.469484071371422,0,1,1,0,1,1
L00114,0.0,1.0,0.0,0.0,3.0,0.0,1,1,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,3,2,1,0,3,7.099119163760321,1,0,0,1,0,1
L00115,0.0,0.0,0.0,0.0,1.2,0.6,0,0,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,1,4,1,2,8.015162115331742,0,0,0,0,0,0
L00116,0.0,0.0,0.0,0.0,0.0,0.0,2,1,7.0,0,0,5.333333333333334,0.0,0.5,0.0,4.0,0,0,28,1,3,1,1,0,0,3,7.376820968499896,1,0,0,1,1,0
L00117,2.7,1.8,0.0,0.9,1.8,0.0,2,1,7.0,1,0,2.566666666666667,0.7333333333333334,0.368,0.286,1.4666666666666668,0,0,27,1,1,2,2,4,1,3,7.5511343173079615,1,1,1,1,1,1
L00118,0.0,0.0,0.0,0.0,0.0,0.0,2,1,11.0,0,0,0.0,0.0,0.75,0.111,0.0,0,0,40,1,2,3,2,1,0,1,10.731877784995705,0,0,0,0,0,1
L00119,0.9666666666666667,0.9666666666666667,1.9333333333333333,0.0,2.9,0.9666666666666667,2,1,9.0,1,0,0.6999999999999998,0.0,0.5,0.0,1.3999999999999997,0,0,0,0,3,2,1,0,0,2,8.700930412351354,0,0,0,0,1,1
L00120,0.0,0.0,0.2666666666666666,0.0,0.2666666666666666,0.2666666666666666,0,0,7.0,0,0,2.8,0.7,0.25,0.25,0.0,0,0,0,0,1,1,1,3,1,4,5.427150238391005,1,0,0,0,0,0
L00121,0.0,0.0,0.09999999999999998,0.09999999999999998,0.29999999999999993,0.09999999999999998,0,0,7.0,0,0,2.5,0.0,0.25,0.0,0.0,0,0,0,0,1,2,2,4,1,1,10.930913494379647,0,0,0,0,0,0
